,Descriptive_Characters_Of_Fish_Eggs
853,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8159&GenusName=Chromidotilapia&SpeciesName=guntheri&fc=349&stockcode=8470
854,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1706&GenusName=Chromis&SpeciesName=chromis&fc=350&stockcode=1902
855,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=16272&GenusName=Chromogobius&SpeciesName=quadrivittatus&fc=405&stockcode=15010
856,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=16275&GenusName=Chromogobius&SpeciesName=zebratus&fc=405&stockcode=15012
857,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2443&GenusName=Chrysichthys&SpeciesName=auratus&fc=668&stockcode=2637
858,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2440&GenusName=Chrysichthys&SpeciesName=nigrodigitatus&fc=668&stockcode=2634
859,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13270&GenusName=Cichla&SpeciesName=monoculus&fc=349&stockcode=13569
860,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=457&GenusName=Cichla&SpeciesName=ocellaris&fc=349&stockcode=471
861,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3613&GenusName=Cichlasoma&SpeciesName=bimaculatum&fc=349&stockcode=3809
862,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46784&GenusName=Cichlasoma&SpeciesName=dimerus&fc=349&stockcode=39400
863,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=47113&GenusName=Cichlasoma&SpeciesName=pusillum&fc=349&stockcode=39667
864,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1290&GenusName=Ciliata&SpeciesName=mustela&fc=505&stockcode=1307
865,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1873&GenusName=Ciliata&SpeciesName=septentrionalis&fc=505&stockcode=2069
866,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6604&GenusName=Cirrhitichthys&SpeciesName=aprinus&fc=352&stockcode=6923
867,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10473&GenusName=Cirrhitichthys&SpeciesName=aureus&fc=352&stockcode=10794
868,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5445&GenusName=Cirrhitichthys&SpeciesName=falco&fc=352&stockcode=5710
869,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5831&GenusName=Cirrhitus&SpeciesName=pinnulatus&fc=352&stockcode=6128
870,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4385&GenusName=Cirripectes&SpeciesName=alboapicalis&fc=392&stockcode=4580
871,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59271&GenusName=Cirripectes&SpeciesName=alleni&fc=392&stockcode=48999
872,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4386&GenusName=Cirripectes&SpeciesName=auritus&fc=392&stockcode=4581
873,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4387&GenusName=Cirripectes&SpeciesName=castaneus&fc=392&stockcode=4582
874,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4388&GenusName=Cirripectes&SpeciesName=chelomatus&fc=392&stockcode=4583
875,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4389&GenusName=Cirripectes&SpeciesName=filamentosus&fc=392&stockcode=4584
876,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4390&GenusName=Cirripectes&SpeciesName=fuscoguttatus&fc=392&stockcode=4585
877,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4391&GenusName=Cirripectes&SpeciesName=gilberti&fc=392&stockcode=4586
878,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=65785&GenusName=Cirripectes&SpeciesName=heemstraorum&fc=392&stockcode=55990
879,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4392&GenusName=Cirripectes&SpeciesName=hutchinsi&fc=392&stockcode=4587
880,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4393&GenusName=Cirripectes&SpeciesName=imitator&fc=392&stockcode=4588
881,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4394&GenusName=Cirripectes&SpeciesName=jenningsi&fc=392&stockcode=4589
882,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4395&GenusName=Cirripectes&SpeciesName=kuwamurai&fc=392&stockcode=4590
883,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4396&GenusName=Cirripectes&SpeciesName=obscurus&fc=392&stockcode=4592
884,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4397&GenusName=Cirripectes&SpeciesName=perustus&fc=392&stockcode=4591
885,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4398&GenusName=Cirripectes&SpeciesName=polyzona&fc=392&stockcode=4593
886,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4399&GenusName=Cirripectes&SpeciesName=quagga&fc=392&stockcode=4594
887,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4400&GenusName=Cirripectes&SpeciesName=randalli&fc=392&stockcode=4595
888,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4401&GenusName=Cirripectes&SpeciesName=springeri&fc=392&stockcode=4596
889,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4402&GenusName=Cirripectes&SpeciesName=stigmaticus&fc=392&stockcode=4597
890,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4403&GenusName=Cirripectes&SpeciesName=vanderbilti&fc=392&stockcode=4598
891,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4404&GenusName=Cirripectes&SpeciesName=variolosus&fc=392&stockcode=4599
892,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4405&GenusName=Cirripectes&SpeciesName=viriosus&fc=392&stockcode=4600
893,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=53820&GenusName=Cirrisalarias&SpeciesName=bunares&fc=392&stockcode=44638
894,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58945&GenusName=Citharichthys&SpeciesName=abbotti&fc=514&stockcode=48667
895,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59549&GenusName=Citharichthys&SpeciesName=amblybregmatus&fc=514&stockcode=49281
896,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4209&GenusName=Citharichthys&SpeciesName=arctifrons&fc=514&stockcode=4405
897,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4210&GenusName=Citharichthys&SpeciesName=arenaceus&fc=514&stockcode=4406
898,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4211&GenusName=Citharichthys&SpeciesName=cornutus&fc=514&stockcode=4407
899,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=66799&GenusName=Citharichthys&SpeciesName=darwini&fc=514&stockcode=57701
900,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=57910&GenusName=Citharichthys&SpeciesName=dinoceros&fc=514&stockcode=47472
901,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4212&GenusName=Citharichthys&SpeciesName=fragilis&fc=514&stockcode=4408
902,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13942&GenusName=Citharichthys&SpeciesName=gilberti&fc=514&stockcode=13909
903,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59550&GenusName=Citharichthys&SpeciesName=gnathus&fc=514&stockcode=49282
904,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13945&GenusName=Citharichthys&SpeciesName=gordae&fc=514&stockcode=13910
905,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4213&GenusName=Citharichthys&SpeciesName=gymnorhinus&fc=514&stockcode=4409
906,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4214&GenusName=Citharichthys&SpeciesName=macrops&fc=514&stockcode=4410
907,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58221&GenusName=Citharichthys&SpeciesName=mariajorisae&fc=514&stockcode=47842
908,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59554&GenusName=Citharichthys&SpeciesName=minutus&fc=514&stockcode=49286
909,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13947&GenusName=Citharichthys&SpeciesName=platophrys&fc=514&stockcode=13911
910,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4215&GenusName=Citharichthys&SpeciesName=sordidus&fc=514&stockcode=4411
911,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4216&GenusName=Citharichthys&SpeciesName=spilopterus&fc=514&stockcode=4412
912,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4942&GenusName=Citharichthys&SpeciesName=stampflii&fc=514&stockcode=5175
913,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4217&GenusName=Citharichthys&SpeciesName=stigmaeus&fc=514&stockcode=4413
914,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59547&GenusName=Citharichthys&SpeciesName=surinamensis&fc=514&stockcode=49279
915,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58959&GenusName=Citharichthys&SpeciesName=uhleri&fc=514&stockcode=48681
916,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2098&GenusName=Clarias&SpeciesName=agboyiensis&fc=139&stockcode=2296
917,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=376&GenusName=Clarias&SpeciesName=anguillaris&fc=139&stockcode=390
918,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2095&GenusName=Clarias&SpeciesName=buthupogon&fc=139&stockcode=2293
919,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2094&GenusName=Clarias&SpeciesName=gabonensis&fc=139&stockcode=2292
920,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1934&GenusName=Clarias&SpeciesName=gariepinus&fc=139&stockcode=2130
921,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59622&GenusName=Clarkichthys&SpeciesName=bilineatus&fc=410&stockcode=49353
922,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8560&GenusName=Cleisthenes&SpeciesName=herzensteini&fc=440&stockcode=8875
923,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=11136&GenusName=Cleithracara&SpeciesName=maronii&fc=349&stockcode=11460
924,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4056&GenusName=Clinocottus&SpeciesName=acuticeps&fc=277&stockcode=4252
925,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=56760
926,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=32
927,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=55040
928,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=56763
929,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=56761
930,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1520&GenusName=Clupea&SpeciesName=pallasii+pallasii&fc=43&stockcode=1713
931,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1567&GenusName=Clupeichthys&SpeciesName=aesarnensis&fc=43&stockcode=1760
932,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1469&GenusName=Clupeonella&SpeciesName=abrau&fc=43&stockcode=1662
933,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1470&GenusName=Clupeonella&SpeciesName=cultriventris&fc=43&stockcode=1663
934,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=12092&GenusName=Cnidoglanis&SpeciesName=macrocephalus&fc=149&stockcode=12418
935,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=52517&GenusName=Cobitis&SpeciesName=arachthosensis&fc=127&stockcode=43678
936,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=49105&GenusName=Cobitis&SpeciesName=bilineata&fc=127&stockcode=41216
937,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9957&GenusName=Cobitis&SpeciesName=calderoni&fc=127&stockcode=10280
938,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=65310&GenusName=Cobitis&SpeciesName=dalmatina&fc=127&stockcode=55426
939,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=26618&GenusName=Cobitis&SpeciesName=elongata&fc=127&stockcode=20816
940,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58790&GenusName=Cobitis&SpeciesName=elongatoides&fc=127&stockcode=48515
941,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46521&GenusName=Cobitis&SpeciesName=hellenica&fc=127&stockcode=39195
942,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=64219&GenusName=Cobitis&SpeciesName=illyrica&fc=127&stockcode=54371
943,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=61420&GenusName=Cobitis&SpeciesName=melanoleuca&fc=127&stockcode=51209
944,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46522&GenusName=Cobitis&SpeciesName=meridionalis&fc=127&stockcode=39196
945,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=65311&GenusName=Cobitis&SpeciesName=narentana&fc=127&stockcode=55427
946,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=65312&GenusName=Cobitis&SpeciesName=ohridana&fc=127&stockcode=55428
947,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9960&GenusName=Cobitis&SpeciesName=paludica&fc=127&stockcode=10283
948,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=63133&GenusName=Cobitis&SpeciesName=pontica&fc=127&stockcode=53212
949,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58647&GenusName=Cobitis&SpeciesName=puncticulata&fc=127&stockcode=48366
950,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46523&GenusName=Cobitis&SpeciesName=punctilineata&fc=127&stockcode=39197
951,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9961&GenusName=Cobitis&SpeciesName=stephanidisi&fc=127&stockcode=10284
952,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22937&GenusName=Cobitis&SpeciesName=striata&fc=127&stockcode=58655
953,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22937&GenusName=Cobitis&SpeciesName=striata&fc=127&stockcode=58653
954,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=25875&GenusName=Cobitis&SpeciesName=strumicae&fc=127&stockcode=20418
955,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6378&GenusName=Cobitis&SpeciesName=taenia&fc=127&stockcode=6697
956,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=60794&GenusName=Cobitis&SpeciesName=tanaitica&fc=127&stockcode=50566
957,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=64640&GenusName=Cobitis&SpeciesName=taurica&fc=127&stockcode=54616
958,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46524&GenusName=Cobitis&SpeciesName=trichonica&fc=127&stockcode=39198
959,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46526&GenusName=Cobitis&SpeciesName=vardarensis&fc=127&stockcode=39199
960,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=57016&GenusName=Cobitis&SpeciesName=vettonica&fc=127&stockcode=46780
961,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=63607&GenusName=Cobitis&SpeciesName=zanandreai&fc=127&stockcode=53741
962,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=614&GenusName=Coilia&SpeciesName=borneensis&fc=454&stockcode=630
963,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=615&GenusName=Coilia&SpeciesName=brachygnathus&fc=454&stockcode=631
964,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=625&GenusName=Coilia&SpeciesName=dussumieri&fc=454&stockcode=641
965,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=626&GenusName=Coilia&SpeciesName=grayii&fc=454&stockcode=642
966,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=627&GenusName=Coilia&SpeciesName=lindmani&fc=454&stockcode=643
967,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=628&GenusName=Coilia&SpeciesName=macrognathos&fc=454&stockcode=644
968,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=629&GenusName=Coilia&SpeciesName=mystus&fc=454&stockcode=645
969,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=630&GenusName=Coilia&SpeciesName=nasus&fc=454&stockcode=646
970,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=631&GenusName=Coilia&SpeciesName=neglecta&fc=454&stockcode=647
971,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=632&GenusName=Coilia&SpeciesName=ramcarati&fc=454&stockcode=648
972,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=633&GenusName=Coilia&SpeciesName=rebentischii&fc=454&stockcode=649
973,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=634&GenusName=Coilia&SpeciesName=reynaldi&fc=454&stockcode=650
974,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=303&GenusName=Cololabis&SpeciesName=saira&fc=208&stockcode=317
975,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=263&GenusName=Colossoma&SpeciesName=macropomum&fc=686&stockcode=277
976,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=300&GenusName=Conger&SpeciesName=oceanicus&fc=62&stockcode=314
977,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=11713&GenusName=Congresox&SpeciesName=talabonoides&fc=504&stockcode=12039
978,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4419&GenusName=Congrogadus&SpeciesName=subducens&fc=291&stockcode=4614
979,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=60306&GenusName=Conocara&SpeciesName=bertelseni&fc=86&stockcode=50058
980,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10775&GenusName=Conocara&SpeciesName=fiolenti&fc=86&stockcode=11098
981,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=51689&GenusName=Conocara&SpeciesName=kreffti&fc=86&stockcode=43178
982,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10789&GenusName=Conocara&SpeciesName=macropterum&fc=86&stockcode=11112
983,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10792&GenusName=Conocara&SpeciesName=microlepis&fc=86&stockcode=11115
984,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10795&GenusName=Conocara&SpeciesName=murrayi&fc=86&stockcode=11118
985,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24558&GenusName=Conocara&SpeciesName=nigrum&fc=86&stockcode=19473
986,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10806&GenusName=Conocara&SpeciesName=salmoneum&fc=86&stockcode=11129
987,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10812&GenusName=Conocara&SpeciesName=werneri&fc=86&stockcode=11135
988,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13705&GenusName=Conodon&SpeciesName=macrops&fc=327&stockcode=13769
989,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=401&GenusName=Conodon&SpeciesName=nobilis&fc=327&stockcode=415
990,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13706&GenusName=Conodon&SpeciesName=serrifer&fc=327&stockcode=13770
991,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8164&GenusName=Copadichromis&SpeciesName=azureus&fc=349&stockcode=8475
992,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2288&GenusName=Copadichromis&SpeciesName=chrysonotus&fc=349&stockcode=2486
993,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2487&GenusName=Coptodon&SpeciesName=discolor&fc=349&stockcode=2681
994,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1397&GenusName=Coptodon&SpeciesName=rendalli&fc=349&stockcode=1415
995,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1390&GenusName=Coptodon&SpeciesName=zillii&fc=349&stockcode=1408
996,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=231&GenusName=Coregonus&SpeciesName=albula&fc=76&stockcode=245
997,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=234&GenusName=Coregonus&SpeciesName=clupeaformis&fc=76&stockcode=248
998,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=232&GenusName=Coregonus&SpeciesName=lavaretus&fc=76&stockcode=246
999,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=28065&GenusName=Coregonus&SpeciesName=macrophthalmus&fc=76&stockcode=38678
1000,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=48236&GenusName=Coregonus&SpeciesName=maraena&fc=76&stockcode=40513
1001,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=12547&GenusName=Coregonus&SpeciesName=muksun&fc=76&stockcode=12878
1002,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2674&GenusName=Coregonus&SpeciesName=nasus&fc=76&stockcode=2870
1003,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10113&GenusName=Coregonus&SpeciesName=nelsonii&fc=76&stockcode=10436
1004,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2676&GenusName=Coregonus&SpeciesName=pidschian&fc=76&stockcode=2872
1005,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2678&GenusName=Coregonus&SpeciesName=sardinella&fc=76&stockcode=2874
1006,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=49212&GenusName=Coregonus&SpeciesName=wartmanni&fc=76&stockcode=41258
1007,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=48137&GenusName=Coregonus&SpeciesName=widegreni&fc=76&stockcode=40417
1008,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6191&GenusName=Coreobagrus&SpeciesName=ichikawai&fc=130&stockcode=6504
1009,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58&GenusName=Coris&SpeciesName=julis&fc=362&stockcode=68
1010,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1167&GenusName=Corvula&SpeciesName=sanctaeluciae&fc=331&stockcode=1183
1011,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46040&GenusName=Corydoras&SpeciesName=adolfoi&fc=156&stockcode=38801
1012,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7777&GenusName=Corydoras&SpeciesName=aeneus&fc=156&stockcode=8087
1013,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=12188&GenusName=Corydoras&SpeciesName=panda&fc=156&stockcode=12514
1014,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7&GenusName=Coryphaena&SpeciesName=equiselis&fc=315&stockcode=9
1015,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6&GenusName=Coryphaena&SpeciesName=hippurus&fc=315&stockcode=1884
1016,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7644&GenusName=Coryphoblennius&SpeciesName=galerita&fc=392&stockcode=7952
1017,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=63493&GenusName=Coryphopterus&SpeciesName=kuna&fc=405&stockcode=53644
1018,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3848&GenusName=Coryphopterus&SpeciesName=personatus&fc=405&stockcode=4044
1019,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6659&GenusName=Corythoichthys&SpeciesName=amplexus&fc=258&stockcode=6979
1020,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5959&GenusName=Corythoichthys&SpeciesName=flavofasciatus&fc=258&stockcode=6268
1021,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5960&GenusName=Corythoichthys&SpeciesName=haematopterus&fc=258&stockcode=6269
1022,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=25368&GenusName=Corythoichthys&SpeciesName=insularis&fc=258&stockcode=20062
1023,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5961&GenusName=Corythoichthys&SpeciesName=intestinalis&fc=258&stockcode=6270
1024,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5962&GenusName=Corythoichthys&SpeciesName=nigripectus&fc=258&stockcode=6271
1025,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5963&GenusName=Corythoichthys&SpeciesName=ocellatus&fc=258&stockcode=6272
1026,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=27349&GenusName=Corythoichthys&SpeciesName=paxtoni&fc=258&stockcode=21395
1027,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5964&GenusName=Corythoichthys&SpeciesName=polynotatus&fc=258&stockcode=6273
1028,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5965&GenusName=Corythoichthys&SpeciesName=schultzi&fc=258&stockcode=6274
1029,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3280&GenusName=Cosmocampus&SpeciesName=albirostris&fc=258&stockcode=3476
1030,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3293&GenusName=Cosmocampus&SpeciesName=arctus&fc=258&stockcode=3489
1031,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7875&GenusName=Cosmocampus&SpeciesName=balli&fc=258&stockcode=8185
1032,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5966&GenusName=Cosmocampus&SpeciesName=banneri&fc=258&stockcode=6275
1033,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3281&GenusName=Cosmocampus&SpeciesName=brachycephalus&fc=258&stockcode=3477
1034,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46217&GenusName=Cosmocampus&SpeciesName=coccineus&fc=258&stockcode=38947
1035,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5967&GenusName=Cosmocampus&SpeciesName=darrosanus&fc=258&stockcode=6276
1036,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3297&GenusName=Cosmocampus&SpeciesName=elucens&fc=258&stockcode=3493
1037,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46223&GenusName=Cosmocampus&SpeciesName=heraldi&fc=258&stockcode=38951
1038,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3302&GenusName=Cosmocampus&SpeciesName=hildebrandi&fc=258&stockcode=3498
